song_name,artist_name,album,genre,format_date,format_seconds,long_or_short
Lofi,Wilmer Roberts & Al2 El Aldeano,Lofi - Single,Rap,2023-03-24,231.264,Long
Lofi,Peanuts,Loopin the 1st,Hip-Hop/Rap,2022-11-21,82.632,Short
Steel Town,Lo-fi,Available - Lo-fi Sond,Ambient,2022-11-11,165.653,Short
Reflecting Water,Lo-fi,Available - Lo-fi Sond,Ambient,2022-11-11,138.101,Short
Lofi (feat. Akoritz),Tollan Kim,Lofi (feat. Akoritz) - Single,Hip-Hop/Rap,2022-11-11,123.429,Short
Mean It,lofi & yuenn,Mean It - Single,R&B/Soul,2022-09-24,164,Short
The Strawberry Beat,Axelites & Lo-Fi,Tringular,Hip-Hop,2022-09-04,165.024,Short
Zero gravity (feat. Blueday),lofi,Zero gravity (feat. Blueday) - Single,R&B/Soul,2022-09-04,196,Long
Sweet Sun,Axelites & Lo-Fi,City of Bloom,Hip-Hop,2022-08-15,166.101,Short
Cold Bedside,Axelites & Lo-Fi,City of Bloom,Hip-Hop,2022-08-15,163.3,Short
Dream About Spring,Axelites & Lo-Fi,City of Bloom,Hip-Hop,2022-08-15,161.492,Short
Amsterdam Flight,Axelites & Lo-Fi,City of Bloom,Hip-Hop,2022-08-15,175.444,Short
More Than Serenity,Axelites & Lo-Fi,City of Bloom,Hip-Hop,2022-08-15,181.426,Long
Uncertain Edge,Axelites & Lo-Fi,City of Bloom,Hip-Hop,2022-08-15,171.503,Short
City of Bloom,Axelites & Lo-Fi,City of Bloom,Hip-Hop,2022-08-15,178.233,Short
Oceans,Dash Berlin & Rowald Steyn,Oceans (Rowald Steyn Lo-Fi Chill Mix) - Single,Downtempo,2022-07-29,143.571,Short
Everything,lofi & yuenn,Everything - Single,R&B/Soul,2022-07-23,207.375,Long
la la la (feat. Sonny Zero),lofi,la la la (feat. Sonny Zero) - Single,R&B/Soul,2022-06-29,189,Long
Rain,lofi & yuenn,Rain - Single,R&B/Soul,2022-05-18,201,Long
u & i verse (feat. Jade),lofi,u & i verse (feat. Jade) - Single,R&B/Soul,2022-04-12,180.5,Long
